,Food Index,Food,Zinc,Thiamin
69,11460150,"Yogurt, frozen, NS as to flavor, lowfat milk",0.00082,3.8e-05
70,11460160,"Yogurt, frozen, chocolate, lowfat milk",0.00106,4.2000000000000004e-05
71,11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk",0.00076,3.7e-05
72,11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",0.00064,3.8e-05
73,11460200,"Yogurt, frozen, chocolate, nonfat milk",0.00049,4e-05
74,11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",0.00053,4e-05
75,11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk",0.00031,2.9e-05
76,11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",0.00049,4e-05
77,11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",0.00049,4e-05
78,11460420,"Yogurt, frozen, NS as to flavor, whole milk",0.00028000000000000003,4e-05
79,11460430,"Yogurt, frozen, chocolate, whole milk",0.00028000000000000003,4e-05
80,11460440,"Yogurt, frozen, flavors other than chocolate, whole milk",0.00028000000000000003,4e-05
81,11461000,"Yogurt, frozen, chocolate-coated",0.00038,2.9e-05
82,11461100,"Yogurt, frozen, carob-coated",0.0011200000000000001,5.1e-05
83,11461200,"Yogurt, frozen, sandwich",0.00043,4.7e-05
84,11461250,"Yogurt, frozen, cone, chocolate",0.0011899999999999999,9.900000000000001e-05
85,11461260,"Yogurt, frozen, cone, flavors other than chocolate",0.00046,9.5e-05
86,11461270,"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",0.00088,5.6e-05
87,11461280,"Yogurt, frozen, cone, chocolate, lowfat milk",0.0010400000000000001,5.4e-05
88,11480010,"Yogurt, whole milk, baby food",0.0005899999999999999,2.9e-05
89,11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",0.0005600000000000001,4.8e-05
90,11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",0.00054,4.8e-05
91,11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",0.0005899999999999999,4.7e-05
92,11511000,"Milk, chocolate, NFS",0.00039,4.4e-05
93,11511100,"Milk, chocolate, whole milk-based",0.00041,3.7e-05
94,11511200,"Milk, chocolate, reduced fat milk-based, 2% (formerly ""lowfat"")",0.00039,4.4999999999999996e-05
