,Food Index,Nutrient Index,Amount,Food
85,11340000,404,0.0,"Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate"
86,11410000,309,0.67,"Yogurt, NS as to type of milk or flavor"
87,11410000,404,0.034,"Yogurt, NS as to type of milk or flavor"
88,11411010,309,0.89,"Yogurt, plain, NS as to type of milk"
89,11411010,404,0.044,"Yogurt, plain, NS as to type of milk"
90,11411100,309,0.59,"Yogurt, plain, whole milk"
91,11411100,404,0.029,"Yogurt, plain, whole milk"
92,11411200,309,0.89,"Yogurt, plain, lowfat milk"
93,11411200,404,0.044,"Yogurt, plain, lowfat milk"
94,11411300,309,0.97,"Yogurt, plain, nonfat milk"
95,11411300,404,0.048,"Yogurt, plain, nonfat milk"
96,11420000,309,0.83,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk"
97,11420000,404,0.042,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk"
98,11421000,309,0.81,"Yogurt, vanilla, lemon, or coffee flavor, whole milk"
99,11421000,404,0.041,"Yogurt, vanilla, lemon, or coffee flavor, whole milk"
100,11422000,309,0.83,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk"
101,11422000,404,0.042,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk"
102,11422100,309,0.83,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener"
103,11422100,404,0.042,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener"
104,11423000,309,0.73,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk"
105,11423000,404,0.036,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk"
106,11424000,309,0.67,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener"
107,11424000,404,0.034,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener"
108,11425000,309,1.13,"Yogurt, chocolate, NS as to type of milk"
109,11425000,404,0.047,"Yogurt, chocolate, NS as to type of milk"
110,11426000,309,1.1,"Yogurt, chocolate, whole milk"
111,11426000,404,0.046,"Yogurt, chocolate, whole milk"
112,11427000,309,1.13,"Yogurt, chocolate, nonfat milk"
113,11427000,404,0.047,"Yogurt, chocolate, nonfat milk"
114,11430000,309,0.74,"Yogurt, fruit variety, NS as to type  of milk"
115,11430000,404,0.037,"Yogurt, fruit variety, NS as to type  of milk"
116,11431000,309,0.72,"Yogurt, fruit variety, whole milk"
117,11431000,404,0.036,"Yogurt, fruit variety, whole milk"
