,Food Index,From,To,Food,index,Thiamin,Zinc,_merge
3381,62101200.0,01/01/2009,12/31/2010,"Apple, dried, cooked, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",,,,left_only
3384,62108100.0,01/01/2009,12/31/2010,"Currants, dried",,,,left_only
3393,62116230.0,01/01/2009,12/31/2010,"Peach, dried, cooked, with sugar",,,,left_only
3403,62126000.0,01/01/2009,12/31/2010,"Tamarind pulp, dried, sweetened (""Pulpitas"")",,,,left_only
3431,63115130.0,01/01/2009,12/31/2010,"Cherries, sweet, cooked or canned, in heavy syrup",,,,left_only
3443,63126600.0,01/01/2009,12/31/2010,"Lychee, cooked or canned, in sugar or syrup",,,,left_only
3450,63133050.0,01/01/2009,12/31/2010,"Papaya, green, cooked",,,,left_only
3622,67413700.0,01/01/2009,12/31/2010,"Peach yogurt dessert, baby food, strained",,,,left_only
3720,71802010.0,01/01/2009,12/31/2010,Macaroni and potato soup,,,,left_only
3861,73111260.0,01/01/2009,12/31/2010,"Peas and carrots, canned, low sodium, fat added in cooking",,,,left_only
3943,74504020.0,01/01/2009,12/31/2010,"Tomato and okra, cooked, fat added in cooking",,,,left_only
4144,75216182.0,01/01/2009,12/31/2010,"Corn, yellow and white, cooked, from frozen, fat added in cooking",,,,left_only
4245,75231021.0,01/01/2009,12/31/2010,"Snowpea (pea pod), cooked, from fresh, fat added in cooking",,,,left_only
4316,75403023.0,01/01/2009,12/31/2010,"Beans, string, green, cooked, from canned, with mushroom sauce",,,,left_only
4330,75414011.0,01/01/2009,12/31/2010,"Mushrooms, from fresh, creamed",,,,left_only
4334,75415011.0,01/01/2009,12/31/2010,"Onions, from fresh, creamed",,,,left_only
4440,76205060.0,01/01/2009,12/31/2010,"Corn and sweetpotatoes, baby food, strained",,,,left_only
4494,81104510.0,01/01/2009,12/31/2010,"Vegetable oil-butter spread, tub, salted",,,,left_only
4638,91560100.0,01/01/2009,12/31/2010,Haupia (coconut pudding),,,,left_only
4858,92512050.0,01/01/2009,12/31/2010,"Frozen daiquiri mix, from frozen concentrate, reconstituted",,,,left_only
4936,93301310.0,01/01/2009,12/31/2010,Mai Tai,,,,left_only
4968,,,,"Bratwurst, beef, cooked_x000D_
",794.0,0.000459,0.00325,right_only
4969,,,,"Empanada, Mexican turnover, filled with cheese and vegetables_x000D_
",3012.0,0.000237,0.00074,right_only
